nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,fase,turma,sinalizador_ingressante,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,nivel_ideal,defasagem,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,indicado_bolsa,grupo_fase,saiu,atencao,destaque
ALUNO-1045,,,,False,7.902183873015873,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.365079365079364,7.5,7.416666666666666,4.791666666666667,6.833329999999999,10.0,2022,2,A,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,168.0,25.0,4.0,5.833333333333333,9.0,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1048,,,,False,7.038889111111112,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,9.72222222222222,7.5,4.75,4.166666666666666,5.88888,10.0,2022,1,C,,,,,,Fase 1 (4º ano),,2022.0,False,476.0,123.0,8.0,2.0,7.5,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1049,,,,False,7.107453276895944,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.88447971781305,7.5,6.25,6.25,6.777776666666665,5.0,2022,1,M,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,453.0,115.0,10.0,4.5,8.0,,3.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,False,Fases 1-7,False,False,False
ALUNO-1050,,,,False,7.785691147804151,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,8.865955739020755,7.5,8.25,5.625,7.75,5.0,2022,0,N,,,,,,Fase 1 (4º ano),,2021.0,False,205.0,54.0,1.0,8.0,8.5,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,False,False
ALUNO-1051,,,,False,6.762500166666667,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,7.1875,5.625,5.833333333333333,8.125,7.0416625,5.0,2022,3,G,,,,,,Fase 4 (9º ano),,2019.0,False,566.0,74.0,6.0,6.166666666666667,5.833333333333333,5.5,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,True,Fases 1-7,False,False,False
ALUNO-1052,,,,False,8.11186499332851,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,7.955148299975887,6.875,8.416666666666666,6.666666666666666,7.666666666666667,10.0,2022,2,F,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,111.0,16.0,2.0,7.833333333333333,9.0,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1053,,,,False,7.8914507164502155,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,9.415584415584416,7.5,9.25,5.833333333333334,7.2499975,5.0,2022,5,B,,,,,,Fase 7 (3º EM),,2022.0,False,173.0,11.0,4.0,8.5,10.0,,3.0,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,,True,Fases 1-7,False,False,False
ALUNO-1054,,,,False,7.776390666666667,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,9.333333333333332,7.5,6.5,6.041666666666667,6.777776666666666,10.0,2022,1,P,,,,,,Fase 1 (4º ano),,2022.0,False,210.0,53.0,2.0,4.5,8.5,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1055,,,,False,7.456542276334777,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.66666,8.603896103896105,5.625,6.277777777777778,7.34375,7.5833325,10.0,2022,4,F,,,,,,Fase 4 (9º ano),,2021.0,False,332.0,27.0,5.0,6.0,6.833333333333333,6.0,4.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,False,Fases 1-7,False,False,False
ALUNO-1057,,,,False,6.427354572463768,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,6.845108695652174,7.5,5.166666666666667,7.5,5.9583275,5.0,2022,3,M,,,,,,Fase 4 (9º ano),,2021.0,False,656.0,85.0,6.0,4.666666666666667,5.833333333333333,5.0,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,False,Fases 1-7,False,False,False
ALUNO-1058,,,,False,7.763511656565658,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.69949494949495,7.5,7.25,6.458333333333334,6.888886666666666,10.0,2022,2,M,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,213.0,33.0,1.0,6.5,8.0,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1059,,,,False,4.8374985,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,3.666666666666667,7.5,1.833333333333333,6.875,6.2916575,2.5,2022,3,L,,,,,,Fase 6 (2º EM),,2022.0,False,833.0,134.0,9.0,0.0,5.0,0.5,4.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,False,Fases 1-7,False,False,False
ALUNO-1060,,,,False,7.2087657306397315,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.653198653198654,7.5,3.5,7.03125,6.83333,10.0,2022,3,C,,,,,,Fase 3 (7º e 8º ano),,2022.0,False,425.0,51.0,3.0,5.0,2.0,,4.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,False,Fases 1-7,False,False,False
ALUNO-1062,,,,False,6.243027512820513,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.66666,7.251602564102564,5.0,4.25,6.09375,5.83333,10.0,2022,5,K,,,,,,Fase 5 (1º EM),,2022.0,False,697.0,43.0,10.0,5.0,3.5,,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,False,Fases 1-7,False,False,False
ALUNO-1063,,,,False,5.552244923076923,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,4.573717948717949,7.5,4.166666666666667,4.375,6.08333,5.0,2022,0,G,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,783.0,185.0,13.0,5.0,3.333333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,True,False
ALUNO-1065,,,,False,7.510987800569802,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.002849002849004,7.5,7.0,5.9375,7.58333,5.0,2022,0,L,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,304.0,87.0,8.0,7.333333333333333,6.666666666666667,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,False,False
ALUNO-1066,,,,False,7.21482645698363,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.66666,8.489420062695924,7.5,5.522222222222222,6.875,6.54166,10.0,2022,4,L,,,,,,Fase 4 (9º ano),,2021.0,False,423.0,34.0,8.0,4.666666666666667,5.5,6.4,4.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,False,Fases 1-7,False,False,False
ALUNO-1067,,,,False,7.682753058681187,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.892921960072595,7.5,4.916666666666667,6.041666666666667,8.333333333333334,10.0,2022,2,J,,,,,,Fase 2 (5º e 6º ano),,2018.0,False,239.0,39.0,2.0,4.166666666666667,5.666666666666667,,3.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,False,Fases 1-7,False,False,False
ALUNO-1068,,,,False,4.289168444444445,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,3.333333333333333,6.875,1.022222222222222,3.75,5.111116666666667,5.0,2022,7,A,,,,,,Fase 8 (Universitários),,2021.0,False,848.0,22.0,14.0,1.666666666666667,1.4,0.0,4.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,False,Fases 1-7,False,False,False
ALUNO-1069,,,,False,6.864088634920636,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.174603174603175,5.0,8.0,5.625,7.83333,5.0,2022,0,C,,,,,,Fase 1 (4º ano),,2022.0,False,533.0,152.0,2.0,8.0,8.0,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,False,False
ALUNO-1070,,,,False,5.949454421052632,,Quartzo,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.070175438596491,5.0,4.416666666666667,4.6875,5.16667,5.0,2022,1,G,,,,,,Fase 3 (7º e 8º ano),,2019.0,False,732.0,174.0,11.0,1.833333333333333,7.0,,2.0,Mantido na Fase atual,Promovido de Fase,,,False,Fases 1-7,False,False,False
ALUNO-1071,,,,False,5.7502658835978835,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,5.417989417989419,5.625,3.583333333333333,6.041666666666667,6.666663333333332,5.0,2022,2,B,,,,,,Fase 3 (7º e 8º ano),,2021.0,False,754.0,139.0,12.0,1.333333333333333,5.833333333333333,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1072,,,,False,5.371978339181287,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,3.81578947368421,7.5,4.122222222222223,6.09375,4.83333,5.0,2022,3,B,,,,,,Fase 4 (9º ano),,2020.0,False,797.0,120.0,12.0,5.666666666666667,1.666666666666667,5.033333333333333,4.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,Alocado em Fase anterior,False,Fases 1-7,False,False,False
ALUNO-1073,,,,False,5.334539516483516,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,6.249084249084249,7.5,4.0,6.458333333333334,6.944446666666666,5.0,2022,1,D,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,798.0,183.0,13.0,5.333333333333333,2.666666666666667,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1074,,,,False,6.581946666666668,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,6.25,7.5,5.833333333333333,6.041666666666667,7.555556666666667,5.0,2022,1,C,,,,,,Fase 3 (7º e 8º ano),,2022.0,False,631.0,154.0,9.0,8.5,3.166666666666667,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,False,Fases 1-7,False,False,False
ALUNO-1075,,,,True,7.5660153049728045,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,9.580419580419582,5.625,6.744444444444444,7.96875,8.458337499999999,5.0,2022,5,K,,,,,,Fase 6 (2º EM),,2016.0,True,286.0,18.0,3.0,6.166666666666667,7.166666666666667,6.9,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,False,Fases 1-7,False,False,False
