nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,fase,turma,sinalizador_ingressante,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,nivel_ideal,defasagem,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,indicado_bolsa,grupo_fase,saiu,indicador_outlier,outlier_tipo,atencao,destaque
ALUNO-480,,,,False,6.330304030303031,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,5.901515151515152,8.125,5.0,4.375,5.499995,10.0,2022,0,H,,,,,,ALFA  (2º e 3º ano),,2022.0,False,675.0,175.0,7.0,4.0,6.0,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-539,,,,False,6.810391938277065,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,7.895719691385326,5.625,6.5,4.6875,6.99999,5.0,2022,0,S,,,,,,Fase 1 (4º ano),,2022.0,False,552.0,158.0,7.0,7.666666666666667,5.333333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-590,,,,False,7.736100484848485,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.674242424242425,8.125,8.35,4.6875,6.75,10.0,2022,0,H,,,,,,ALFA  (2º e 3º ano),,2022.0,False,225.0,61.0,3.0,9.3,7.399999999999999,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-600,,,,False,6.741243719576721,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.597883597883596,5.0,7.15,3.75,6.583325,5.0,2022,0,F,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,572.0,160.0,7.0,7.666666666666667,6.633333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-628,,,,True,8.172164185520362,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.16289592760181,7.5,8.75,6.5625,8.916665,5.0,2022,0,L,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,94.0,25.0,2.0,9.333333333333334,8.166666666666666,,2.0,Promovido de Fase,Promovido de Fase,,,False,Fases 1-7,False,ipp,superior,False,False
ALUNO-643,,,,False,8.059869909502263,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.351432880844644,7.5,8.166666666666668,6.5625,8.25,5.0,2022,0,L,,,,,,Fase 1 (4º ano),,2022.0,False,130.0,36.0,3.0,8.833333333333334,7.5,,2.0,Promovido de Fase,Promovido de Fase,,,False,Fases 1-7,False,ipp,superior,False,False
ALUNO-694,,,,True,7.431937372281467,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,6.711768528073998,7.5,7.083333333333333,6.5625,8.833335,5.0,2022,0,N,,,,,,Fase 1 (4º ano),,2021.0,False,342.0,100.0,3.0,6.0,8.166666666666666,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,superior,False,False
ALUNO-764,,,,False,6.895951771280052,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.40683885640026,5.625,6.25,4.6875,7.41666,5.0,2022,0,J,,,,,,Fase 2 (5º e 6º ano),,2022.0,False,526.0,150.0,10.0,7.333333333333333,5.166666666666667,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-771,,,,False,6.524519230769231,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.91668,8.112179487179487,7.5,6.666666666666666,3.4375,5.41666,5.0,2022,0,G,,,,,,Fase 1 (4º ano),,2022.0,False,641.0,171.0,10.0,7.333333333333333,6.0,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-778,,,,False,6.8177388542510124,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,5.411605937921728,7.5,6.083333333333333,4.6875,7.499995,10.0,2022,0,Q,,,,,,ALFA  (2º e 3º ano),,2022.0,False,551.0,157.0,8.0,6.333333333333333,5.833333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-841,,,,False,6.839365079365081,,Ágata,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91668,8.230158730158731,4.375,7.716666666666667,4.375,7.41666,5.0,2022,0,Y,,,,,,Fase 1 (4º ano),,2022.0,False,543.0,154.0,9.0,7.8,7.633333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
